ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Country,Sport,Event,Medal
97647,Kunhu Muhammed Puthanpurakkal,M,29,170,72,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Athletics,Athletics Men's 4 x 400 metres Relay,NA
98145,Ambika Radhika,F,23,NA,NA,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Table Tennis,Table Tennis Women's Singles,NA
98361,Inam-ur Rahman,M,24,169,68,India,IND,1968 Summer,1968,Summer,Mexico City,Mexico,Hockey,Hockey Men's Hockey,Bronze
98391,Jitu Rai,M,28,160,64,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Shooting,"Shooting Men's Air Pistol, 10 metres",NA
98391,Jitu Rai,M,28,160,64,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Shooting,"Shooting Men's Free Pistol, 50 metres",NA
98392,Kishor Rahtna Rai,M,23,NA,NA,India,IND,1988 Winter,1988,Winter,Calgary,Canada,Alpine Skiing,Alpine Skiing Men's Slalom,NA
98396,Sanjay Kumar Rai,M,21,178,78,India,IND,2000 Summer,2000,Summer,Sydney,Australia,Athletics,Athletics Men's Long Jump,NA
98397,Satheesha Rai,M,24,NA,76,India,IND,1996 Summer,1996,Summer,Atlanta,United States of America,Weightlifting,Weightlifting Men's Middleweight,NA
98398,Sen K. Rai,M,NA,NA,NA,India,IND,1976 Summer,1976,Summer,Montreal,Canada,Boxing,Boxing Men's Featherweight,NA
98399,Tarundeep Rai,M,20,174,60,India,IND,2004 Summer,2004,Summer,Athina,Greece,Archery,Archery Men's Individual,NA
98399,Tarundeep Rai,M,20,174,60,India,IND,2004 Summer,2004,Summer,Athina,Greece,Archery,Archery Men's Team,NA
98399,Tarundeep Rai,M,28,174,60,India,IND,2012 Summer,2012,Summer,London,England,Archery,Archery Men's Individual,NA
98399,Tarundeep Rai,M,28,174,60,India,IND,2012 Summer,2012,Summer,London,England,Archery,Archery Men's Team,NA
98452,Dandamudi Rajagopal,M,31,NA,102.5,India,IND,1948 Summer,1948,Summer,London,England,Weightlifting,Weightlifting Men's Heavyweight,NA
98452,Dandamudi Rajagopal,M,40,NA,102.5,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Weightlifting,Weightlifting Men's Heavyweight,NA
98453,Muniswamy Rajagopal,M,26,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Hockey,Hockey Men's Hockey,Gold
98476,Soundarajan Arokia Rajiv,M,25,175,65,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Athletics,Athletics Men's 4 x 400 metres Relay,NA
98487,Jaswant Singh Rajput,M,NA,NA,NA,India,IND,1948 Summer,1948,Summer,London,England,Hockey,Hockey Men's Hockey,Gold
98488,Sanjeev Rajput,M,27,180,69,India,IND,2008 Summer,2008,Summer,Beijing,China,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
98488,Sanjeev Rajput,M,27,180,69,India,IND,2008 Summer,2008,Summer,Beijing,China,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA
98488,Sanjeev Rajput,M,31,180,69,India,IND,2012 Summer,2012,Summer,London,England,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Individual All-Around,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Floor Exercise,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Horse Vault,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Parallel Bars,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Horizontal Bar,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Rings,NA
98544,Anant Ram,M,24,NA,NA,India,IND,1956 Summer,1956,Summer,Melbourne,Australia,Gymnastics,Gymnastics Men's Pommelled Horse,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Individual All-Around,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Team All-Around,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Floor Exercise,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Horse Vault,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Parallel Bars,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Horizontal Bar,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Rings,NA
98544,Anant Ram,M,31,NA,NA,India,IND,1964 Summer,1964,Summer,Tokyo,Japan,Gymnastics,Gymnastics Men's Pommelled Horse,NA
98546,Bahadur Chettri Ram,M,23,157,59,India,IND,1960 Summer,1960,Summer,Roma,Italy,Football,Football Men's Football,NA
98547,Chandgi Ram,M,34,192,90,India,IND,1972 Summer,1972,Summer,Munich,Germany,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",NA
98548,Kheta Ram,M,29,169,53,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Brazil,Athletics,Athletics Men's Marathon,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Individual All-Around,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Floor Exercise,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Horse Vault,NA
98549,Khushi Ram,M,36,NA,NA,India,IND,1952 Summer,1952,Summer,Helsinki,Finland,Gymnastics,Gymnastics Men's Parallel Bars,NA
