,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
542,Wes Combs,The Soldier,19,5,0,"6' 2""",205 lbs.,NA,Orthodox,18-Jun-73,47,2.14,4.73,0.48,0.45,0,0,0,0
543,Carlos Condit,The Natural Born Killer,30,13,0,"6' 2""",170 lbs.,"75""",Orthodox,26-Apr-84,36,3.78,2.42,0.39,0.56,0.59,0.52,0.39,1.2
544,Chris Condo,None,0,1,0,"6' 0""",335 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
545,Marcos Conrado Jr.,None,5,1,0,"6' 2""",220 lbs.,NA,Orthodox,14-Mar-82,38,NA,NA,NA,NA,NA,NA,NA,NA
546,Jeremiah Constant,None,10,7,0,"6' 1""",240 lbs.,NA,Orthodox,19-Jul-74,46,1.5,3.25,0.75,0.43,0,0,0,7.5
547,Jonathan Contrestano,JT,6,0,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
548,Bob Cook,Crazy,5,0,0,"5' 9""",170 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
549,Mike Cook,None,11,9,0,"6' 1""",205 lbs.,NA,Orthodox,NA,0,1.72,2.4,0.49,0.46,1.03,0.33,0.55,2.1
550,Chad Cook,None,9,9,0,"6' 2""",205 lbs.,NA,NA,7-Nov-79,41,0,0,0,0,0,0,0,0
551,TJ Cook,None,12,4,0,NA,205 lbs.,NA,NA,8-Sep-82,38,2.3,3.18,0.47,0.54,1.01,0.5,0,0
552,Dewey Cooper,The Black Cobra,2,1,0,NA,205 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
553,Brett Cooper,None,15,7,0,"6' 0""",170 lbs.,NA,Orthodox,2-Jul-87,33,0,0,0,0,0,0,0,0
554,Bill Cooper,None,2,1,0,NA,155 lbs.,NA,NA,5-May-84,36,0,0,0,0,0,0,0,0
555,Bobby Cooper,Super Duper,12,7,0,"6' 1""",155 lbs.,NA,NA,NA,0,2.87,3.4,0.25,0.59,0,0,0.4,1
556,Amanda Cooper,ABC,4,5,0,"5' 3""",115 lbs.,"64""",Switch,22-Oct-91,29,3.7,3.29,0.44,0.49,1.42,0.42,0.2,1.9
557,Kit Cope,Havoc,4,7,0,"6' 0""",170 lbs.,NA,Orthodox,17-Mar-77,43,1.18,2.12,0.52,0.35,0,0,0.5,3.5
558,Chris Cope,C-Murder,5,4,0,"6' 0""",170 lbs.,"72""",Orthodox,5-Mar-83,37,3.96,4.82,0.26,0.5,0,0,0.8,0
559,Josh Copeland,Cuddly Bear,9,2,0,"6' 1""",265 lbs.,"75""",Orthodox,20-Oct-82,38,1.03,3.01,0.31,0.55,0,0,0.57,0
560,Michael Cora,Kookie Monster,4,1,0,"6' 1""",170 lbs.,"77""",Southpaw,24-Aug-89,31,0.8,0.13,0.28,0.66,0,0,0.25,0
561,Akira Corassani,None,14,7,0,"5' 8""",145 lbs.,"68""",Orthodox,27-Aug-82,38,3.25,4.91,0.45,0.5,0.7,0.28,0.86,0
562,Muhsin Corbbrey,None,9,7,0,"5' 10""",155 lbs.,NA,Orthodox,18-May-78,42,2.02,5.41,0.34,0.53,0,0,0.8,0.4
563,Daniel Cormier,DC,22,2,0,"5' 11""",235 lbs.,"72""",Orthodox,20-Mar-79,41,3.82,2.38,0.49,0.58,1.81,0.4,0.8,0.4
564,Clint Coronel,None,2,5,0,NA,155 lbs.,NA,NA,NA,0,4.93,5.6,0.32,0.66,0,0,0.66,0
565,Henry Corrales,None,13,3,0,"5' 9""",145 lbs.,NA,NA,NA,0,4.12,5.84,0.41,0.55,0,0,0.69,0
566,Bethe Correia,Pitbull,11,4,1,"5' 5""",135 lbs.,"64""",Orthodox,22-Jun-83,37,4.34,3.87,0.45,0.59,0.48,0.25,0.85,0
567,Wesley Correira,Cabbage,19,14,0,"6' 3""",260 lbs.,NA,Orthodox,11-Nov-78,42,2.6,8.8,0.36,0.4,0,0,0.9,0
568,Tracy Cortez,None,7,1,0,"5' 5""",125 lbs.,NA,NA,10-Dec-93,27,4.83,2.63,0.54,0.61,3,0.37,1,0
569,Chad Corvin,The Brave Warrior,6,0,0,"6' 5""",255 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
570,Miguel Cosio,None,1,12,0,"6' 4""",205 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
571,Jadson Costa,None,10,2,0,"5' 7""",155 lbs.,NA,Orthodox,NA,0,0.2,3.05,0.5,0.5,0,0,0,0
572,Guilherme Costa,The Prodigy,7,1,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
573,Randy Costa,The Zohan,5,1,0,"5' 9""",135 lbs.,"73""",Switch,6-Jul-94,26,NA,NA,NA,NA,NA,NA,NA,NA
574,Patrick Cote,The Predator,24,11,0,"5' 11""",170 lbs.,"71""",Orthodox,29-Feb-80,40,2.81,3.21,0.48,0.48,0.68,0.2,0.43,0.2
575,JC Cottrell,Superstar,17,5,0,"5' 9""",155 lbs.,"71""",Orthodox,4-Nov-89,31,0.79,2.75,0.25,0.45,0.79,1,0.5,0
576,JR Coughran,Bam Bam,6,1,0,"5' 6""",145 lbs.,"71""",Orthodox,17-May-94,26,NA,NA,NA,NA,NA,NA,NA,NA
577,Rashad Coulter,Daywalker,9,4,0,"5' 11""",205 lbs.,"76""",Orthodox,27-Nov-81,39,3.96,8.51,0.49,0.53,0,0,1,0
578,Dave Courchaine,None,5,5,0,"5' 8""",170 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
579,Randy Couture,The Natural,19,11,0,"6' 1""",205 lbs.,"75""",Orthodox,22-Jun-63,57,2.85,1.53,0.57,0.59,2.78,0.46,0.58,0.5
580,Kim Couture,Sugar Free,3,6,0,"5' 8""",135 lbs.,NA,Orthodox,18-Dec-75,45,12.12,2.31,0.8,0.69,0,0,0,0
581,Ryan Couture,None,7,3,0,"5' 10""",155 lbs.,"75""",Orthodox,27-Aug-82,38,3.54,2.87,0.45,0.54,1.55,0.29,0.46,1.3
582,Nikk Covert,The Brick,3,4,0,"5' 8""",185 lbs.,NA,NA,4-Aug-69,51,0,0,0,0,0,0,0,0
583,Colby Covington,Chaos,15,2,0,"5' 11""",170 lbs.,"72""",Orthodox,22-Feb-88,32,3.09,1.71,0.41,0.62,5.98,0.53,0.88,0.3
584,Jeff Cox,The Grinder,10,7,0,"5' 10""",155 lbs.,NA,Orthodox,2-Aug-68,52,0.56,1.69,0.25,0.33,4.23,0.5,0.8,0
585,Nathan Coy,Soulforce,15,7,0,"5' 10""",170 lbs.,"69""",Southpaw,24-Jul-78,42,3.88,2.4,0.52,0.61,3.17,0.47,0.5,0
586,Andrew Craig,Highlight,9,4,0,"6' 1""",170 lbs.,"76""",Orthodox,15-Jan-86,34,2.39,3.01,0.4,0.5,0.53,0.37,0.72,0
587,Paul Craig,Bearjew,12,4,1,"6' 3""",205 lbs.,"76""",Orthodox,27-Nov-87,33,3.73,3.36,0.58,0.49,0.93,0.16,0.66,2.8
588,Dan Cramer,None,7,3,0,"6' 2""",170 lbs.,NA,Orthodox,31-Oct-85,35,0.97,2.1,0.3,0.31,0,0,0.66,0.5
589,Alberto Crane,None,15,5,0,"5' 5""",155 lbs.,NA,Orthodox,14-Jul-76,44,0.43,2.61,0.25,0.57,0,0,0.5,4
590,Tim Credeur,None,12,4,0,"6' 3""",185 lbs.,"75""",Orthodox,9-Jul-77,43,3.59,3.13,0.3,0.57,0.41,1,0.5,3.3
591,Paul Creighton,None,3,1,0,"5' 6""",155 lbs.,NA,Southpaw,4-Jun-70,50,0.72,4.65,0.75,0.3,5.37,0.37,0,0
592,Alexander Crispim,None,7,2,0,NA,145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
593,Alex Crispin,None,0,1,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
594,Jeff Crotty,None,1,1,0,NA,155 lbs.,NA,NA,NA,0,0.93,3.33,0.35,0.54,5,0.38,0,1
595,Allen Crowder,Pretty Boy,10,4,0,"6' 3""",245 lbs.,"76""",Orthodox,8-Nov-89,31,3.58,2.33,0.54,0.6,1.79,0.33,1,0.9
596,Daron Cruickshank,Detroit Superstar,16,8,0,"5' 8""",155 lbs.,"72""",Switch,11-Jun-85,35,2.88,2.98,0.38,0.57,2.04,0.41,0.6,0.2
597,Richard Crunkilton,Cleat,19,3,0,"5' 7""",155 lbs.,NA,Orthodox,25-Nov-79,41,1.97,1.66,0.41,0.58,4.68,0.61,0.65,1.5
598,Jimmy Crute,None,11,1,0,"6' 2""",205 lbs.,"74""",Orthodox,4-Mar-96,24,4.08,2.23,0.55,0.53,4.63,0.81,0.6,2.6
599,Marcio Cruz,Pe de Pano,7,3,0,"6' 4""",232 lbs.,NA,Orthodox,24-Apr-78,42,2.92,1.51,0.46,0.68,0.53,0.07,0.37,1.6
600,Dominick Cruz,The Dominator,22,2,0,"5' 8""",135 lbs.,"68""",Orthodox,9-Mar-85,35,3.53,2.15,0.31,0.74,3.17,0.5,0.83,0.1
601,Aalon Cruz,None,8,3,0,"6' 0""",145 lbs.,NA,NA,NA,0,8.37,6.99,0.39,0.64,0,0,0,0
602,Jay Cucciniello,Mellow Fellow,9,1,0,"5' 7""",155 lbs.,NA,Orthodox,23-Jul-86,34,NA,NA,NA,NA,NA,NA,NA,NA
603,Chris Culley,None,11,8,0,NA,145 lbs.,NA,NA,25-Mar-86,34,0,0,0,0,0,0,0,0
604,Abel Cullum,The Silent Assassin,18,6,0,"5' 7""",139 lbs.,NA,Orthodox,21-Apr-87,33,1.82,1.23,0.4,0.46,4.01,0.52,0,2.8
605,Zak Cummings,None,23,7,0,"6' 0""",185 lbs.,"75""",Southpaw,2-Aug-84,36,2.61,3.01,0.31,0.51,1.3,0.38,0.66,1.1
606,Everett Cummings,None,12,0,0,NA,205 lbs.,NA,NA,NA,0,0.43,4.34,0.6,0.45,0,0,0,2.2
607,Patrick Cummins,Durkin,10,7,0,"6' 2""",205 lbs.,"76""",Orthodox,16-Nov-80,40,4.63,3.19,0.52,0.57,5.34,0.43,0.71,0.2
608,Luke Cummo,None,6,6,0,"6' 0""",170 lbs.,"74""",Orthodox,27-Apr-80,40,1.74,1.5,0.43,0.59,0.89,0.55,0.42,1.4
609,Alton Cunningham,The Bo-Man,7,1,0,"6' 2""",205 lbs.,"77""",Orthodox,24-Jun-93,27,NA,NA,NA,NA,NA,NA,NA,NA
610,Larry Cureton,None,0,2,0,"6' 2""",240 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
611,Jeff Curran,Big Frog,35,15,1,"5' 6""",135 lbs.,"69""",Orthodox,2-Sep-77,43,1.54,2.48,0.31,0.6,0.35,0.12,0.35,1.2
612,Kailin Curran,None,4,6,0,"5' 4""",115 lbs.,"65""",Orthodox,11-Apr-91,29,3.89,4.75,0.43,0.53,2,0.57,0.61,0.6
613,Pat Curran,Paddy Mike,22,7,0,"5' 9""",145 lbs.,NA,NA,31-Aug-87,33,4.7,4.4,0.58,0.63,2.5,0.62,0.66,0
614,Chris Curtis,Action-Man,18,5,0,"5' 10""",170 lbs.,NA,Orthodox,15-Jul-87,33,NA,NA,NA,NA,NA,NA,NA,NA
615,Ion Cutelaba,The Hulk,15,5,0,"6' 1""",205 lbs.,"75""",Southpaw,14-Dec-93,27,4.15,3.21,0.31,0.5,2.16,0.66,0.8,0
616,Gleidson Cutis,Poney,7,3,0,"5' 9""",155 lbs.,NA,Orthodox,7-Feb-89,31,NA,NA,NA,NA,NA,NA,NA,NA
617,Sarah D'alelio,The Monster,4,2,0,"5' 7""",145 lbs.,NA,NA,13-Dec-80,40,2.4,0,0.33,1,0,0,1,0
618,Marcos da Matta,Parrumpinha,8,2,0,"5' 4""",145 lbs.,NA,NA,18-Mar-73,47,0,0,0,0,0,0,0,0
619,Jussier Formiga,Formiga,23,7,0,"5' 5""",125 lbs.,"67""",Orthodox,14-Apr-85,35,1.25,2.23,0.35,0.65,1.77,0.36,0.85,0.7
620,Claudio Silva,Hannibal,14,1,0,"5' 11""",170 lbs.,"71""",Southpaw,6-Sep-82,38,2.33,2.47,0.45,0.45,3,0.25,0,0.5
621,Henrique da Silva,Frankenstein,14,5,0,"6' 3""",205 lbs.,"76""",Orthodox,1-Sep-89,31,4,5.24,0.56,0.42,0.33,0.25,0.25,0.3
622,Alex Da Silva,Leko,21,2,0,"5' 8""",155 lbs.,"73""",Orthodox,4-Feb-96,24,NA,NA,NA,NA,NA,NA,NA,NA
623,Nicolas Dalby,Lokomotivo,18,3,1,"5' 11""",170 lbs.,"74""",Orthodox,16-Nov-84,36,3.27,3.33,0.38,0.55,2,0.5,0.69,0
624,Paul Daley,Semtex,31,11,2,"5' 9""",170 lbs.,"76""",Orthodox,21-Feb-83,37,3.14,2.37,0.47,0.6,0.91,0.4,0.64,0
625,Dave Dalgliesh,None,30,19,2,"6' 2""",205 lbs.,NA,Orthodox,5-Apr-78,42,0,1.85,0,0.5,0,0,0,0
626,Richard Dalton,None,4,3,1,"6' 1""",205 lbs.,NA,Orthodox,NA,0,1.2,3.27,0.69,0.25,1,0.11,0,0
627,Aisling Daly,Ais the Bash,16,6,0,"5' 2""",115 lbs.,"64""",NA,24-Dec-87,33,2.92,1.4,0.52,0.55,2.15,0.41,0.33,0.9
628,Marko Damiani,None,0,2,0,"6' 0""",170 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
629,Rodrigo Damm,None,12,9,0,"5' 7""",155 lbs.,"71""",Orthodox,3-Feb-80,40,3.5,5.61,0.36,0.57,0.44,0.16,0.8,0.3
630,Carina Damm,Beauty But the Beast,17,6,0,"5' 4""",135 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
631,Cindy Dandois,Battle Cat,8,3,0,"5' 7""",135 lbs.,"68""",Orthodox,26-Oct-84,36,3.13,3.4,0.32,0.58,5,0.55,0,0
632,Jarjis Danho,Man Mountain,6,1,1,"6' 3""",265 lbs.,"74""",Orthodox,15-Oct-83,37,3.39,5.77,0.48,0.47,0.57,0.2,1,0
633,Raymond Daniels,None,0,1,0,"6' 2""",185 lbs.,NA,Southpaw,NA,0,0,2.61,0,0.38,0,0,0.33,3
634,Marques Daniels,None,5,5,0,NA,155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
635,Alexandre Dantas,Cafe,0,2,0,"6' 2""",238 lbs.,NA,Orthodox,1-Mar-79,41,0.21,1.87,0.25,0.6,0,0,0,3.1
636,Eduardo Dantas,Dudu,20,4,0,"5' 10""",135 lbs.,NA,NA,3-Feb-89,31,3.33,3,0.6,0.6,4,0.23,1,0
637,Mac Danzig,None,22,12,1,"5' 8""",155 lbs.,"70""",Orthodox,2-Jan-80,40,3.39,3.44,0.48,0.57,1.2,0.37,0.46,0.6
638,Karen Darabedyan,None,9,4,0,"5' 7""",155 lbs.,"68""",Orthodox,18-Dec-86,34,3.43,2.62,0.51,0.67,2.14,0.75,0,0
639,Beneil Dariush,None,18,4,1,"5' 10""",155 lbs.,"72""",Southpaw,6-May-89,31,4.03,2.86,0.47,0.61,1.16,0.25,0.78,0.6
640,Sean Daugherty,None,0,2,0,"6' 0""",175 lbs.,NA,NA,4-Dec-75,45,0,0,0,0,0,0,0,0
641,Kyle Daukaus,None,6,0,0,"6' 3""",185 lbs.,"76""",Southpaw,27-Feb-93,27,NA,NA,NA,NA,NA,NA,NA,NA
642,Brian Davidson,None,8,3,0,"5' 6""",145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
643,Rick Davis,The Flying Squirrel,3,1,1,"5' 9""",155 lbs.,NA,Orthodox,NA,0,3.09,6.19,0.5,0.64,0,0,0,0
644,Marcus Davis,The Irish Hand Grenade,20,9,0,"5' 10""",170 lbs.,"70""",Southpaw,24-Aug-73,47,2.72,2.79,0.39,0.65,1.6,0.48,0.47,1.4
645,LC Davis,None,17,4,0,"5' 8""",135 lbs.,"69""",Southpaw,28-Oct-80,40,2.04,2.1,0.3,0.59,2.27,0.46,0.66,0.2
646,Phil Davis,Mr. Wonderful,13,3,0,"6' 2""",205 lbs.,"79""",Orthodox,25-Sep-84,36,2.85,1.33,0.34,0.72,2.99,0.38,0.72,0.6
647,Lemont Davis,None,2,5,0,"5' 8""",170 lbs.,NA,Orthodox,NA,0,0.87,1.27,0.54,0.55,1,0.5,0,1
648,Mike Davis,None,2,0,0,"6' 0""",155 lbs.,"72""",Orthodox,7-Oct-92,28,5.87,6.36,0.54,0.54,0.77,0.33,0.66,0
649,Mike Davis,Beast Boy,8,2,0,"6' 0""",155 lbs.,"72""",Orthodox,7-Oct-92,28,5.87,6.36,0.54,0.54,0.77,0.33,0.66,0
650,Justin Davis,Dangerous,14,10,0,"5' 11""",205 lbs.,NA,NA,1-Apr-83,37,0,0,0,0,0,0,0,0
651,Alexis Davis,None,19,10,0,"5' 6""",125 lbs.,"68""",Orthodox,4-Oct-84,36,4.5,4.3,0.47,0.54,0.74,0.38,0.42,1
652,Danny Davis,None,6,5,1,"6' 2""",170 lbs.,NA,NA,28-Jul-82,38,0,0,0,0,0,0,0,0
653,Brandon Davis,Killer B,10,8,0,"5' 10""",135 lbs.,"72""",Orthodox,8-May-90,30,8.93,7,0.29,0.61,0,0,0,0
654,Hakeem Dawodu,Mean,11,1,1,"5' 8""",145 lbs.,"73""",Orthodox,2-Jul-91,29,5.28,2.31,0.46,0.64,0,0,0.85,0
655,Grant Dawson,KGD,15,1,0,"5' 10""",145 lbs.,"72""",Switch,20-Feb-94,26,3.84,0.48,0.48,0.57,2.4,1,0.5,4.8
656,Jason Day,Dooms,19,12,0,"6' 0""",185 lbs.,"72""",Orthodox,19-May-81,39,3.61,3.46,0.54,0.47,1.13,1,0,0
657,Martin Day,The Spartan,8,3,0,"5' 10""",135 lbs.,"73""",Orthodox,10-Nov-88,32,4.53,2.73,0.43,0.59,1,0.5,0.66,0
658,Angel De Anda,The Dream,18,6,0,"5' 9""",225 lbs.,NA,Orthodox,28-May-85,35,5.68,6.32,0.46,0.47,0,0,0,0
659,Yorgan De Castro,The Mad Titan,6,0,0,"6' 0""",250 lbs.,"74""",Orthodox,19-Dec-86,34,2.19,2.99,0.41,0.54,0,0,0.75,0
660,Geraldo de Freitas,Spartan,12,5,0,"5' 9""",135 lbs.,"72""",Orthodox,30-Sep-91,29,2.97,2.3,0.47,0.49,4,0.5,0.6,0
661,Philip De Fries,None,9,3,0,"6' 5""",250 lbs.,"82""",Orthodox,21-Apr-86,34,2.3,3,0.47,0.37,3.29,0.42,1,0.6
662,Chris de la Rocha,None,5,3,0,"6' 3""",250 lbs.,"80""",Orthodox,15-May-79,41,4.07,7.44,0.36,0.46,0,0,0,0
663,Montana De La Rosa,None,11,5,0,"5' 7""",125 lbs.,"68""",NA,14-Feb-95,25,3,5,0.35,0.41,0,0,0,7.5
664,Mark De La Rosa,Bumblebee,11,4,0,"5' 6""",135 lbs.,"65""",Orthodox,31-Aug-94,26,NA,NA,NA,NA,NA,NA,NA,NA
665,Mike de la Torre,El Cucuy,14,7,0,"5' 11""",145 lbs.,"71""",Orthodox,22-Sep-86,34,3.21,4.75,0.39,0.51,0.36,0.16,0.83,0
666,Rodrigo de Lima,Monstro,8,3,1,"5' 7""",155 lbs.,"75""",Orthodox,12-Mar-91,29,1.29,5.5,0.33,0.32,2.66,0.36,0,1.3
667,Edilberto de Oliveira,Crocota,20,8,2,"6' 0""",170 lbs.,NA,Orthodox,22-Nov-82,38,4.12,6.79,0.32,0.61,0,0,0,0
668,Johil de Oliveira,None,16,13,1,"5' 6""",170 lbs.,NA,Orthodox,NA,0,0.51,0.73,0.34,0.58,1.1,0.5,0.44,0.6
669,Jorge de Oliveira,Blade,7,2,0,"5' 8""",155 lbs.,"71""",Orthodox,22-Jan-80,40,1.26,4.84,0.31,0.48,0,0,0.22,0
670,Maria Oliveira,Spider-Girl,10,4,0,"5' 5""",115 lbs.,NA,Orthodox,12-Dec-96,24,NA,NA,NA,NA,NA,NA,NA,NA
671,Germaine de Randamie,The Iron Lady,9,4,0,"5' 9""",135 lbs.,"71""",Orthodox,24-Apr-84,36,3.2,2.28,0.47,0.66,0,0,0.86,0.2
672,Crezio de Souza,None,1,2,0,NA,170 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
673,Tom DeBlass,None,7,2,0,"6' 0""",185 lbs.,"75""",Orthodox,14-May-82,38,1.5,4.43,0.35,0.37,1,0.5,0.28,0.5
674,Issac DeJesus,None,9,3,1,NA,145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
675,Shane del Rosario,None,11,2,0,"6' 4""",250 lbs.,"79""",Southpaw,23-Sep-83,37,3.93,2.97,0.6,0.54,1.2,0.4,0.16,2.4
676,Humberto DeLeon,None,6,5,0,NA,135 lbs.,NA,NA,12-Nov-89,31,0,0,0,0,0,0,0,0
677,Rolando Delgado,Roli,11,5,1,"6' 3""",155 lbs.,"77""",Orthodox,22-Nov-81,39,1.56,1.83,0.4,0.62,1.17,0.22,0,3.5
678,Israel Delgado,None,0,2,0,"5' 10""",155 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
679,Roland Delorme,None,9,4,0,"5' 9""",135 lbs.,"71""",Orthodox,18-Dec-83,37,2.28,4.32,0.44,0.4,2.51,0.34,0.42,1.6
680,Jon Delos Reyes,The Heat,8,5,0,"5' 6""",125 lbs.,"67""",Orthodox,19-Aug-87,33,2.99,4.14,0.38,0.51,3.2,0.83,0.55,1.9
681,Jason DeLucia,None,33,21,1,"5' 11""",190 lbs.,NA,Southpaw,24-Jul-69,51,0,0,0,0,0,0,0,0
682,Justin DeMoney,None,13,5,1,NA,170 lbs.,NA,NA,1-Jul-85,35,0,0,0,0,0,0,0,0
683,Chris Dempsey,None,11,4,0,"5' 10""",185 lbs.,"72""",Orthodox,8-Sep-87,33,2.25,2.82,0.32,0.65,2.64,0.23,0.16,0
684,Nick Denis,The Ninja of Love,11,3,0,"5' 7""",135 lbs.,NA,Orthodox,11-Oct-83,37,6.54,5.42,0.53,0.36,2.8,1,0.8,0
685,Thomas Denny,The Wildman,27,19,1,"5' 10""",170 lbs.,NA,Orthodox,19-Apr-71,49,2.26,5.94,0.33,0.43,0.97,0.5,0.44,0
686,Robert Densley,The Wrecker,9,10,0,"5' 9""",155 lbs.,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
687,Jason Dent,Dynamite,21,12,0,"5' 10""",155 lbs.,"71""",Orthodox,12-Jun-80,40,2.01,3.7,0.39,0.62,0,0,0.26,1.4
688,Mackenzie Dern,None,7,1,0,"5' 4""",115 lbs.,"63""",Orthodox,24-Mar-93,27,NA,NA,NA,NA,NA,NA,NA,NA
689,Booker DeRousse,None,3,5,0,"6' 2""",205 lbs.,NA,NA,23-Mar-81,39,0,0,0,0,0,0,0,0
690,Tony DeSouza,None,10,4,0,"6' 0""",170 lbs.,"70""",Southpaw,26-Jul-74,46,1.12,1.57,0.52,0.41,2.25,0.42,0.4,1.5
691,Cory Devela,The One,11,5,0,"5' 0""",185 lbs.,NA,Orthodox,NA,0,4.07,4,0.41,0.47,1.07,0.12,0.62,0
692,John Devine,None,6,4,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
693,Edwin DeWees,Babyface,37,15,0,"6' 1""",185 lbs.,NA,Orthodox,7-Aug-82,38,1.53,6.19,0.33,0.39,2.18,0.66,0,3.3
694,Alessio Di Chirico,Manzo,12,4,0,"6' 0""",185 lbs.,"74""",Orthodox,12-Dec-89,31,3.94,3.2,0.44,0.62,1.86,0.44,0.75,0
695,Cyrille Diabate,The Snake,20,10,3,"6' 6""",205 lbs.,"81""",Southpaw,6-Oct-73,47,4.06,1.78,0.71,0.6,1.17,0.83,0.53,0.2
696,Thomas Diagne,None,5,4,1,"6' 1""",154 lbs.,NA,NA,3-Sep-83,37,4.53,4.53,0.48,0.63,2,1,0.66,0
697,Marc Diakiese,Bonecrusher,14,3,0,"5' 10""",155 lbs.,"73""",Orthodox,16-Mar-93,27,2.41,2.02,0.41,0.56,3.36,0.45,0.62,0
698,Tyler Diamond,None,9,2,0,"5' 7""",145 lbs.,"69""",Orthodox,18-Mar-91,29,NA,NA,NA,NA,NA,NA,NA,NA
699,Eldo Xavier Dias,None,0,1,0,"5' 11""",180 lbs.,NA,NA,16-Jul-64,56,0,0,0,0,0,0,0,0
700,Rafael Dias,None,15,8,2,"5' 9""",145 lbs.,NA,Orthodox,20-Oct-79,41,1.13,2.19,0.27,0.6,3.17,0.47,1,1.2
701,Hacran Dias,Barnabe,23,6,1,"5' 8""",155 lbs.,"69""",Orthodox,16-Jun-84,36,2.08,3.31,0.41,0.55,2.5,0.39,0.76,0.5
702,Nick Diaz,None,26,9,0,"6' 1""",185 lbs.,"76""",Southpaw,2-Aug-83,37,5.43,3.56,0.42,0.61,1.32,0.33,0.6,1
703,Nate Diaz,None,21,12,0,"6' 0""",170 lbs.,"76""",Southpaw,16-Apr-85,35,4.64,3.69,0.44,0.54,1.17,0.3,0.45,1.4
704,Michael Diaz,None,1,3,0,NA,260 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
705,Ryan Diaz,None,13,13,0,NA,145 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
706,Adrian Diaz,None,11,4,1,"5' 10""",145 lbs.,NA,Southpaw,26-Apr-88,32,0.48,3.84,0.42,0.51,2.4,0.5,0,0
707,Mark Dickman,Tricky,11,3,0,"5' 9""",145 lbs.,NA,NA,19-Jul-84,36,0,0,0,0,0,0,0,0
708,Josh Diekmann,The Freight Train,15,8,0,"5' 4""",246 lbs.,NA,NA,9-Oct-76,44,0.94,4.69,0.08,0.54,0,0,0,0
709,Kyle Dietz,None,5,2,0,"5' 8""",135 lbs.,NA,Orthodox,29-Apr-86,34,1.82,2.08,0.45,0.62,0,0,0,0
710,Seth Dikun,None,7,4,0,"5' 10""",135 lbs.,"69""",Orthodox,5-Aug-80,40,1.45,2.18,0.26,0.55,0,0,0.45,0.9
711,TJ Dillashaw,None,17,4,0,"5' 6""",125 lbs.,"67""",Orthodox,7-Feb-86,34,5.26,2.91,0.4,0.66,1.73,0.37,0.85,1
712,Ralph Dillon,Rage,0,1,1,"6' 2""",205 lbs.,NA,Orthodox,NA,0,0.34,0.69,0.14,0.6,0,0,0,0
713,Drew Dimanlig,None,3,3,0,NA,185 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
714,Rodolfo Marques Diniz,None,14,1,1,"5' 6""",135 lbs.,NA,NA,23-Jan-84,36,1.08,2.36,0.32,0.33,0,0,0.5,1.8
715,Helio Dipp,None,6,3,0,"6' 5""",185 lbs.,NA,Orthodox,NA,0,0.6,1.8,0.25,0.62,0,0,0.5,0
716,Rico DiSciullo,None,9,1,0,"5' 8""",135 lbs.,"71""",Orthodox,12-Oct-86,34,NA,NA,NA,NA,NA,NA,NA,NA
717,John Dixson,Big John,15,22,0,"6' 0""",275 lbs.,NA,Orthodox,NA,0,0,0,0,0,0,0,0,0
718,Anthony Do,None,4,2,0,"5' 4""",125 lbs.,NA,NA,NA,0,0,0,0,0,0,0,0,0
719,Russell Doane,None,15,8,0,"5' 7""",135 lbs.,"70""",Orthodox,13-Aug-86,34,2.06,1.74,0.41,0.56,2.29,0.43,0.54,0.9
720,Drew Dober,None,22,9,0,"5' 8""",155 lbs.,"70""",Southpaw,19-Oct-88,32,3.4,3.97,0.34,0.55,1.1,0.16,0.68,0.2
721,Shana Dobson,Danger,3,4,0,"5' 6""",125 lbs.,"69""",NA,30-Mar-89,31,4.31,4.44,0.35,0.65,0,0,0,0
