,Fighter Name,Nickname,W,L,D,Height,Weight,Reach,Stance,DOB,Age,SLPM,SAPM,STRA,STRD,TD,TDA,TDD,SUBA
2929,Oleg Taktarov,The Russian Bear,17,5,2,"6' 0""",210 lbs.,NA,Orthodox,26-Aug-67,53,0,0,0,0,0,0,0,0
2930,Nordine Taleb,None,15,7,0,"6' 1""",170 lbs.,"74""",Orthodox,10-Jun-81,39,3.28,1.97,0.54,0.69,2.48,0.78,0.72,0
2931,Tsuyoshi Tamakairiki,None,0,3,0,"6' 0""",220 lbs.,NA,Orthodox,NA,0,0,26.67,0,0.5,0,0,0,0
2932,Eli Tamez,Tomahawk,10,0,0,"5' 7""",135 lbs.,NA,NA,22-Aug-85,35,0,0,0,0,0,0,0,0
2933,Kiyoshi Tamura,None,32,13,3,"5' 11""",185 lbs.,NA,Southpaw,17-Dec-69,51,2.44,1.44,0.53,0.6,0.58,0.6,0.45,0.2
2934,Akitoshi Tamura,The Ironman,16,11,2,"5' 9""",135 lbs.,"70""",Orthodox,31-May-80,40,3.73,1.94,0.43,0.78,0,0,0.2,1
2935,Issei Tamura,None,7,4,0,"5' 5""",135 lbs.,"63""",Orthodox,12-Mar-84,36,1.89,4.58,0.53,0.44,0.92,0.25,0.33,0
2936,Jason Tan,None,5,3,0,"5' 10""",170 lbs.,NA,Orthodox,17-Dec-81,39,0.69,7.37,0.29,0.18,0,0,0,0
2937,Akihito Tanaka,Kinniku Mantaro,2,2,0,NA,NA,NA,Southpaw,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2938,Michinori Tanaka,None,11,3,0,"5' 5""",135 lbs.,"67""",Orthodox,4-Oct-90,30,1.97,1.99,0.37,0.5,2.4,0.38,0.43,0.2
2939,Evan Tanner,None,32,8,0,"6' 0""",185 lbs.,"74""",Orthodox,11-Feb-71,49,3.05,2.64,0.59,0.56,2.55,0.43,0.25,1.3
2940,Manny Tapia,The Mangler,11,4,1,"5' 5""",135 lbs.,"67""",Orthodox,14-Mar-81,39,2.69,4.74,0.21,0.58,0.49,0.4,0.66,0.2
